模型ID,public_id,名称,厂商,任务,关联端点,数量控制,比例,比例基线尺寸,分辨率档位,自定义尺寸,输出格式,参考图输入,选项字段,布尔字段,整数字段,数值字段,文本字段,系统提示词,官方必填参数,目录未暴露的官方参数,与官方默认值差异
fal-ai/hidream-i1-dev,hidream-i1-dev,Hidream / HiDream-I1 Dev,hidream,text-to-image,,1~4 张（字段 num_images）,,,,字段 image_size；宽 256~1024，高 256~1024，≤1.04858MP,字段 output_format；jpeg、png；默认 jpeg,,,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（1~50）,,negative_prompt,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/hidream-i1-fast,hidream-i1-fast,Hidream / HiDream-I1 Fast,hidream,text-to-image,,1~4 张（字段 num_images）,,,,字段 image_size；宽 256~1024，高 256~1024，≤1.04858MP,字段 output_format；jpeg、png；默认 jpeg,,,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（1~50）,,negative_prompt,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/hidream-i1-full,hidream-i1-full,Hidream / HiDream-I1 Full,hidream,text-to-image,fal-ai/hidream-i1-full/image-to-image,1~4 张（字段 num_images）,,,,字段 image_size；宽 256~1024，高 256~1024，≤1.04858MP,字段 output_format；jpeg、png；默认 jpeg,,,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（1~50）,guidance_scale（0~20）,negative_prompt,,prompt,loras(array|null),enable_safety_checker 本地默认 false（官方 true）
fal-ai/hidream-i1-full/image-to-image,hidream-i1-full-image-to-image,Hidream / HiDream-I1 Full Edit,hidream,image-to-image,fal-ai/hidream-i1-full,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,字段 image_url（最多 1 张）,,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（1~50）,guidance_scale（0~20）；strength（0~1）,negative_prompt,,prompt、image_url,loras(array|null),enable_safety_checker 本地默认 false（官方 true）
fal-ai/hidream-o1-image,hidream-o1-image,Hidream / HiDream-O1 Image,hidream,text-to-image,fal-ai/hidream-o1-image/edit,1~4 张（字段 num_images）,,,,字段 image_size；宽 256~2048，高 256~2048，步长 32,字段 output_format；jpeg、png、webp；默认 png,,,enable_safety_checker（默认 false）；sync_mode；keep_original_aspect（默认 false）,seed；num_inference_steps（1~50）,guidance_scale（0~20）,,,prompt,reference_image_urls(array(默认[])),enable_safety_checker 本地默认 false（官方 true）
fal-ai/hidream-o1-image/edit,hidream-o1-image-edit,Hidream / HiDream-O1 Image Edit,hidream,image-to-image,fal-ai/hidream-o1-image,1~4 张（字段 num_images）,,,,字段 image_size；宽 256~2048，高 256~2048，步长 32,字段 output_format；jpeg、png、webp；默认 png,字段 reference_image_urls（最多 4 张）,,enable_safety_checker（默认 false）；sync_mode；keep_original_aspect（默认 false）,seed；num_inference_steps（1~50）,guidance_scale（0~20）,,,prompt、reference_image_urls,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/hidream-o1-image/dev,hidream-o1-image-dev,Hidream / HiDream-O1 Image Dev,hidream,text-to-image,fal-ai/hidream-o1-image/dev/edit,1~4 张（字段 num_images）,,,,字段 image_size；宽 256~2048，高 256~2048，步长 32,字段 output_format；jpeg、png、webp；默认 png,,,enable_safety_checker（默认 false）；sync_mode；keep_original_aspect（默认 false）,seed；num_inference_steps（1~28）,guidance_scale（0~20）,,,prompt,reference_image_urls(array(默认[])),enable_safety_checker 本地默认 false（官方 true）
fal-ai/hidream-o1-image/dev/edit,hidream-o1-image-dev-edit,Hidream / HiDream-O1 Image Dev Edit,hidream,image-to-image,fal-ai/hidream-o1-image/dev,1~4 张（字段 num_images）,,,,字段 image_size；宽 256~2048，高 256~2048，步长 32,字段 output_format；jpeg、png、webp；默认 png,字段 reference_image_urls（最多 4 张）,,enable_safety_checker（默认 false）；sync_mode；keep_original_aspect（默认 false）,seed；num_inference_steps（1~28）,guidance_scale（0~20）,,,prompt、reference_image_urls,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/ideogram/v2,ideogram-v2,Ideogram / Ideogram v2,ideogram,text-to-image,fal-ai/ideogram/v2/edit,未配置,10:16、16:10、9:16、16:9、4:3、3:4、1:1、1:3、3:1、3:2、2:3,,,,,,style：auto/general/realistic/design/render_3D/anime（默认 auto）,sync_mode；expand_prompt（默认 true）,seed,,negative_prompt,,prompt,,
fal-ai/ideogram/v2/edit,ideogram-v2-edit,Ideogram / V2 Edit,ideogram,image-to-image,fal-ai/ideogram/v2,未配置,,,,,,字段 image_url（最多 1 张）,style：auto/general/realistic/design/render_3D/anime（默认 auto）,sync_mode；expand_prompt（默认 true）,seed,,mask_url,,prompt、image_url、mask_url,,
fal-ai/ideogram/v2/turbo,ideogram-v2-turbo,Ideogram / V2 Turbo,ideogram,text-to-image,fal-ai/ideogram/v2/turbo/edit,未配置,10:16、16:10、9:16、16:9、4:3、3:4、1:1、1:3、3:1、3:2、2:3,,,,,,style：auto/general/realistic/design/render_3D/anime（默认 auto）,sync_mode；expand_prompt（默认 true）,seed,,negative_prompt,,prompt,,
fal-ai/ideogram/v2/turbo/edit,ideogram-v2-turbo-edit,Ideogram / Turbo Edit,ideogram,image-to-image,fal-ai/ideogram/v2/turbo,未配置,,,,,,字段 image_url（最多 1 张）,style：auto/general/realistic/design/render_3D/anime（默认 auto）,sync_mode；expand_prompt（默认 true）,seed,,mask_url,,prompt、image_url、mask_url,,
fal-ai/ideogram/v2a,ideogram-v2a,Ideogram / Ideogram v2a,ideogram,text-to-image,,未配置,10:16、16:10、9:16、16:9、4:3、3:4、1:1、1:3、3:1、3:2、2:3,,,,,,style：auto/general/realistic/design/render_3D/anime（默认 auto）,sync_mode；expand_prompt（默认 true）,seed,,,,prompt,,
fal-ai/ideogram/v2a/turbo,ideogram-v2a-turbo,Ideogram / V2a Turbo,ideogram,text-to-image,,未配置,10:16、16:10、9:16、16:9、4:3、3:4、1:1、1:3、3:1、3:2、2:3,,,,,,style：auto/general/realistic/design/render_3D/anime（默认 auto）,sync_mode；expand_prompt（默认 true）,seed,,,,prompt,,
fal-ai/ideogram/v3,ideogram-v3,Ideogram / Ideogram v3,ideogram,text-to-image,fal-ai/ideogram/v3/edit,1~8 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,,,rendering_speed：TURBO/BALANCED/QUALITY（默认 BALANCED）；style：AUTO/GENERAL/REALISTIC/DESIGN（默认 AUTO）,sync_mode；expand_prompt（默认 true）,seed,,negative_prompt,,prompt,color_palette(null|object)；image_urls(array|null)；style_codes(array|null)；style_preset(null|string(80S_ILLUSTRATION/90S_NOSTALGIA/ABSTRACT_ORGANIC/ANALOG_NOSTALGIA/ART_BRUT/ART_DECO/ART_POSTER/AURA/AVANT_GARDE/BAUHAUS/BLUEPRINT/BLURRY_MOTION/BRIGHT_ART/C4D_CARTOON/CHILDRENS_BOOK/COLLAGE/COLORING_BOOK_I/COLORING_BOOK_II/CUBISM/DARK_AURA/DOODLE/DOUBLE_EXPOSURE/DRAMATIC_CINEMA/EDITORIAL/EMOTIONAL_MINIMAL/ETHEREAL_PARTY/EXPIRED_FILM/FLAT_ART/FLAT_VECTOR/FOREST_REVERIE/GEO_MINIMALIST/GLASS_PRISM/GOLDEN_HOUR/GRAFFITI_I/GRAFFITI_II/HALFTONE_PRINT/HIGH_CONTRAST/HIPPIE_ERA/ICONIC/JAPANDI_FUSION/JAZZY/LONG_EXPOSURE/MAGAZINE_EDITORIAL/MINIMAL_ILLUSTRATION/MIXED_MEDIA/MONOCHROME/NIGHTLIFE/OIL_PAINTING/OLD_CARTOONS/PAINT_GESTURE/POP_ART/RETRO_ETCHING/RIVIERA_POP/SPOTLIGHT_80S/STYLIZED_RED/SURREAL_COLLAGE/TRAVEL_POSTER/VINTAGE_GEO/VINTAGE_POSTER/WATERCOLOR/WEIRD/WOODBLOCK_PRINT)),
fal-ai/ideogram/v3/edit,ideogram-v3-edit,Ideogram / V3 Edit,ideogram,image-to-image,fal-ai/ideogram/v3,1~8 张（字段 num_images）,,,,,,字段 image_url（最多 1 张）,rendering_speed：TURBO/BALANCED/QUALITY（默认 BALANCED）,sync_mode；expand_prompt（默认 true）,seed,,mask_url,,prompt、image_url、mask_url,color_palette(null|object)；image_urls(array|null)；style_codes(array|null)；style_preset(null|string(80S_ILLUSTRATION/90S_NOSTALGIA/ABSTRACT_ORGANIC/ANALOG_NOSTALGIA/ART_BRUT/ART_DECO/ART_POSTER/AURA/AVANT_GARDE/BAUHAUS/BLUEPRINT/BLURRY_MOTION/BRIGHT_ART/C4D_CARTOON/CHILDRENS_BOOK/COLLAGE/COLORING_BOOK_I/COLORING_BOOK_II/CUBISM/DARK_AURA/DOODLE/DOUBLE_EXPOSURE/DRAMATIC_CINEMA/EDITORIAL/EMOTIONAL_MINIMAL/ETHEREAL_PARTY/EXPIRED_FILM/FLAT_ART/FLAT_VECTOR/FOREST_REVERIE/GEO_MINIMALIST/GLASS_PRISM/GOLDEN_HOUR/GRAFFITI_I/GRAFFITI_II/HALFTONE_PRINT/HIGH_CONTRAST/HIPPIE_ERA/ICONIC/JAPANDI_FUSION/JAZZY/LONG_EXPOSURE/MAGAZINE_EDITORIAL/MINIMAL_ILLUSTRATION/MIXED_MEDIA/MONOCHROME/NIGHTLIFE/OIL_PAINTING/OLD_CARTOONS/PAINT_GESTURE/POP_ART/RETRO_ETCHING/RIVIERA_POP/SPOTLIGHT_80S/STYLIZED_RED/SURREAL_COLLAGE/TRAVEL_POSTER/VINTAGE_GEO/VINTAGE_POSTER/WATERCOLOR/WEIRD/WOODBLOCK_PRINT)),
ideogram/v4,ideogram-v4,Ideogram / Ideogram v4,ideogram,text-to-image,ideogram/v4/image-to-image,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,,expansion_model：None/Medium/Large（默认 Medium）；rendering_speed：TURBO/BALANCED/QUALITY（默认 BALANCED）；acceleration：none/low/regular/high（默认 none）,enable_safety_checker（默认 false）；sync_mode,seed,,,,prompt,,enable_safety_checker 本地默认 false（官方 true）
ideogram/v4/image-to-image,ideogram-v4-image-to-image,Ideogram / V4 Edit,ideogram,image-to-image,ideogram/v4,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9、auto；默认 auto,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720；auto=auto,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,字段 image_url（最多 1 张）,expansion_model：None/Medium/Large（默认 Medium）；rendering_speed：TURBO/BALANCED/QUALITY（默认 BALANCED）；acceleration：none/low/regular/high（默认 none）,enable_safety_checker（默认 false）；sync_mode,seed,strength（0~1）,,,prompt、image_url,,enable_safety_checker 本地默认 false（官方 true）
ideogram/v4/fast,ideogram-v4-fast,Ideogram / V4 Fast,ideogram,text-to-image,,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,,expansion_model：None/Medium（默认 Medium）；rendering_speed：TURBO/BALANCED/QUALITY（默认 BALANCED）,enable_safety_checker（默认 false）；sync_mode,seed,,,,prompt,,enable_safety_checker 本地默认 false（官方 true）
ideogram/v4/instant,ideogram-v4-instant,Ideogram / V4 Instant,ideogram,text-to-image,,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,,expansion_model：None/Medium（默认 Medium）,enable_safety_checker（默认 false）；sync_mode,seed,,,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/kling-image/o3/text-to-image,kling-image-o3-text-to-image,Kling / O3,kling,text-to-image,fal-ai/kling-image/o3/image-to-image,1~9 张（字段 num_images）,字段 aspect_ratio；16:9、9:16、1:1、4:3、3:4、3:2、2:3、21:9；默认 16:9,,字段 resolution；1K、2K、4K；默认 1K,,字段 output_format；jpeg、png、webp；默认 png,,result_type：single/series（默认 single）,sync_mode,series_amount（2~9）,,,,prompt,elements(array|null),
fal-ai/kling-image/o3/image-to-image,kling-image-o3-image-to-image,Kling / O3 Edit,kling,image-to-image,fal-ai/kling-image/o3/text-to-image,1~9 张（字段 num_images）,字段 aspect_ratio；16:9、9:16、1:1、4:3、3:4、3:2、2:3、21:9、auto；默认 auto,,字段 resolution；1K、2K、4K；默认 1K,,字段 output_format；jpeg、png、webp；默认 png,字段 image_urls（最多 10 张）,result_type：single/series（默认 single）,sync_mode,series_amount（2~9）,,,,prompt、image_urls,elements(array|null),
fal-ai/kling-image/v3/text-to-image,kling-image-v3-text-to-image,Kling / V3,kling,text-to-image,fal-ai/kling-image/v3/image-to-image,1~9 张（字段 num_images）,字段 aspect_ratio；16:9、9:16、1:1、4:3、3:4、3:2、2:3、21:9；默认 16:9,,字段 resolution；1K、2K；默认 1K,,字段 output_format；jpeg、png、webp；默认 png,,,sync_mode,,,negative_prompt,,prompt,elements(array|null),
fal-ai/kling-image/v3/image-to-image,kling-image-v3-image-to-image,Kling / V3 Edit,kling,image-to-image,fal-ai/kling-image/v3/text-to-image,1~9 张（字段 num_images）,字段 aspect_ratio；16:9、9:16、1:1、4:3、3:4、3:2、2:3、21:9；默认 16:9,,字段 resolution；1K、2K；默认 1K,,字段 output_format；jpeg、png、webp；默认 png,字段 image_url（最多 1 张）,,sync_mode,,,,,prompt、image_url,elements(array|null),
fal-ai/kolors,kolors,Kling / Kolors,kling,text-to-image,fal-ai/kolors/image-to-image,1~8 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 png,,scheduler：EulerDiscreteScheduler/EulerAncestralDiscreteScheduler/DPMSolverMultistepScheduler/DPMSolverMultistepScheduler_SDE_karras/UniPCMultistepScheduler/DEISMultistepScheduler（默认 EulerDiscreteScheduler）,enable_safety_checker（默认 false）；sync_mode（默认 false）,seed；num_inference_steps（1~150）,guidance_scale（1~10）,negative_prompt,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/kolors/image-to-image,kolors-image-to-image,Kling / Kolors Edit,kling,image-to-image,fal-ai/kolors,1~8 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 png,字段 image_url（最多 1 张）,scheduler：EulerDiscreteScheduler/EulerAncestralDiscreteScheduler/DPMSolverMultistepScheduler/DPMSolverMultistepScheduler_SDE_karras/UniPCMultistepScheduler/DEISMultistepScheduler（默认 EulerDiscreteScheduler）,enable_safety_checker（默认 false）；sync_mode（默认 false）,seed；num_inference_steps（1~150）,guidance_scale（1~10）；strength（0.01~1）,negative_prompt,,prompt、image_url,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/krea-2/turbo,krea-2-turbo,Krea / Krea 2 Turbo,krea,text-to-image,,1~4 张（字段 num_images）,1:1、4:3、16:9、3:4、9:16；默认 1:1,1:1=1024x1024；4:3=1024x768；16:9=1280x720；3:4=768x1024；9:16=720x1280,,字段 image_size,字段 output_format；jpeg、png；默认 png,,acceleration：none/regular（默认 none）,enable_prompt_expansion（默认 true）；sync_mode；enable_safety_checker（默认 false）,seed,,,,prompt,,enable_prompt_expansion 本地默认 true（官方 false）；enable_safety_checker 本地默认 false（官方 true）
krea/v2/large/text-to-image,krea-v2-large,Krea / Krea V2 Large,krea,text-to-image,,1 张（不下发数量字段）,字段 aspect_ratio；1:1、4:3、3:2、16:9、2.35:1、4:5、2:3、9:16；默认 1:1,,,,,,creativity：raw/low/medium/high（默认 medium）,,seed,,,,prompt,image_style_references(array(默认[]))；moodboards(array(默认[]))；styles(array(默认[])),
krea/v2/medium/text-to-image,krea-v2-medium,Krea / Krea V2 Medium,krea,text-to-image,,1 张（不下发数量字段）,字段 aspect_ratio；1:1、4:3、3:2、16:9、2.35:1、4:5、2:3、9:16；默认 1:1,,,,,,creativity：raw/low/medium/high（默认 medium）,,seed,,,,prompt,image_style_references(array(默认[]))；moodboards(array(默认[]))；styles(array(默认[])),
krea/v2/medium/turbo/text-to-image,krea-v2-medium-turbo,Krea / Krea V2 Medium Turbo,krea,text-to-image,,1 张（不下发数量字段）,字段 aspect_ratio；1:1、4:3、3:2、16:9、2.35:1、4:5、2:3、9:16；默认 1:1,,,,,,creativity：raw/low/medium/high（默认 medium）,,seed,,,,prompt,image_style_references(array(默认[]))；moodboards(array(默认[]))；styles(array(默认[])),
luma/agent/uni-1/v1/edit,luma-agent-uni-1-v1-edit,Luma AI / V1 Edit,luma,image-to-image,luma/agent/uni-1/v1/text-to-image,1 张（不下发数量字段）,,,,,字段 output_format；png、jpeg；默认 png,字段 image_url（最多 1 张）,style：auto/manga（默认 auto）,,,,,,prompt、image_url,reference_image_urls(array|null),
luma/agent/uni-1/v1/max,luma-agent-uni-1-v1-max,Luma AI / V1 Max,luma,text-to-image,luma/agent/uni-1/v1/max/edit,1 张（不下发数量字段）,字段 aspect_ratio；3:1、2:1、16:9、3:2、1:1、2:3、9:16、1:2、1:3；默认 16:9,,,,字段 output_format；png、jpeg；默认 png,,style：auto/manga（默认 auto）,enable_web_search,,,,,prompt,reference_image_urls(array|null),
luma/agent/uni-1/v1/max/edit,luma-agent-uni-1-v1-max-edit,Luma AI / V1 Max Edit,luma,image-to-image,luma/agent/uni-1/v1/max,1 张（不下发数量字段）,,,,,字段 output_format；png、jpeg；默认 png,字段 image_url（最多 1 张）,style：auto/manga（默认 auto）,,,,,,prompt、image_url,reference_image_urls(array|null),
luma/agent/uni-1/v1/text-to-image,luma-agent-uni-1-v1-text-to-image,Luma AI / V1,luma,text-to-image,luma/agent/uni-1/v1/edit,1 张（不下发数量字段）,字段 aspect_ratio；3:1、2:1、16:9、3:2、1:1、2:3、9:16、1:2、1:3；默认 16:9,,,,字段 output_format；png、jpeg；默认 png,,style：auto/manga（默认 auto）,enable_web_search,,,,,prompt,reference_image_urls(array|null),
fal-ai/luma-photon,luma-photon,Luma AI / Luma Photon,luma,text-to-image,fal-ai/luma-photon/modify,1 张（不下发数量字段）,字段 aspect_ratio；16:9、9:16、1:1、4:3、3:4、21:9、9:21；默认 1:1,,,,,,,,,,,,prompt,,
fal-ai/luma-photon/modify,luma-photon-modify,Luma AI / Luma Photon Edit,luma,image-to-image,fal-ai/luma-photon,1 张（不下发数量字段）,字段 aspect_ratio；1:1、16:9、9:16、4:3、3:4、21:9、9:21；默认 1:1,,,,,字段 image_url（最多 1 张）,,,,strength（0~1）,,,image_url、strength、aspect_ratio,,
fal-ai/luma-photon/flash,luma-photon-flash,Luma AI / Luma Photon Flash,luma,text-to-image,fal-ai/luma-photon/flash/modify,1 张（不下发数量字段）,字段 aspect_ratio；16:9、9:16、1:1、4:3、3:4、21:9、9:21；默认 1:1,,,,,,,,,,,,prompt,,
fal-ai/luma-photon/flash/modify,luma-photon-flash-modify,Luma AI / Luma Photon Flash Edit,luma,image-to-image,fal-ai/luma-photon/flash,1 张（不下发数量字段）,字段 aspect_ratio；1:1、16:9、9:16、4:3、3:4、21:9、9:21；默认 1:1,,,,,字段 image_url（最多 1 张）,,,,strength（0~1）,,,image_url、strength、aspect_ratio,,
fal-ai/longcat-image,longcat-image,Meituan / Longcat Image,meituan,text-to-image,fal-ai/longcat-image/edit,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png、webp；默认 png,,acceleration：none/regular/high（默认 regular）,enable_safety_checker（默认 false）；sync_mode（默认 false）,seed；num_inference_steps（1~50）,guidance_scale（1~20）,,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/longcat-image/edit,longcat-image-edit,Meituan / Longcat Image Edit,meituan,image-to-image,fal-ai/longcat-image,1~4 张（字段 num_images）,,,,,字段 output_format；jpeg、png、webp；默认 png,字段 image_url（最多 1 张）,acceleration：none/regular/high（默认 regular）,enable_safety_checker（默认 false）；sync_mode（默认 false）,seed；num_inference_steps（1~50）,guidance_scale（1~20）,,,prompt、image_url,,enable_safety_checker 本地默认 false（官方 true）
microsoft/mai-image-2.5,microsoft-mai-image-2.5,Microsoft / Mai Image 2.5,microsoft,text-to-image,microsoft/mai-image-2.5/edit,1~4 张（字段 num_images）,字段 aspect_ratio；auto、1:1、4:3、3:4、16:9、9:16、3:2、2:3；默认 auto,,,,字段 output_format；jpeg、png、webp；默认 png,,,sync_mode（默认 false）,,,,,prompt,,
microsoft/mai-image-2.5/edit,microsoft-mai-image-2.5-edit,Microsoft / Mai Image 2.5 Edit,microsoft,image-to-image,microsoft/mai-image-2.5,1~4 张（字段 num_images）,字段 aspect_ratio；auto、1:1、4:3、3:4、16:9、9:16、3:2、2:3；默认 auto,,,,字段 output_format；jpeg、png、webp；默认 png,字段 image_urls（最多 1 张）,,sync_mode（默认 false）,,,,,prompt、image_urls,,
fal-ai/minimax/image-01,minimax-image-01,Minimax / Image 01,minimax,text-to-image,,1~9 张（字段 num_images）,字段 aspect_ratio；1:1、16:9、4:3、3:2、2:3、3:4、9:16、21:9；默认 1:1,,,,,,,prompt_optimizer（默认 false）,,,,,prompt,,
fal-ai/sana,sana,NVIDIA / Sana,nvidia,text-to-image,,1~4 张（字段 num_images）,,,,字段 image_size；宽 256~4096，高 256~4096，≤16.7772MP,字段 output_format；jpeg、png；默认 jpeg,,style_name：(No style)/Cinematic/Photographic/Anime/Manga/Digital Art/Pixel art/Fantasy art/Neonpunk/3D Model（默认 (No style)）,enable_safety_checker（默认 false）；sync_mode（默认 false）,seed；num_inference_steps（1~50）,guidance_scale（0~20）,negative_prompt,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/sana/sprint,sana-sprint,NVIDIA / Sana Sprint,nvidia,text-to-image,,1~4 张（字段 num_images）,,,,字段 image_size；宽 256~4096，高 256~4096，≤16.7772MP,字段 output_format；jpeg、png；默认 jpeg,,style_name：(No style)/Cinematic/Photographic/Anime/Manga/Digital Art/Pixel art/Fantasy art/Neonpunk/3D Model（默认 (No style)）,enable_safety_checker（默认 false）；sync_mode（默认 false）,seed；num_inference_steps（1~20）,guidance_scale（0~20）,negative_prompt,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/sana/v1.5/1.6b,sana-v1.5-1.6b,NVIDIA / Sana V1.5 1.6B,nvidia,text-to-image,,1~4 张（字段 num_images）,,,,字段 image_size；宽 256~4096，高 256~4096，≤16.7772MP,字段 output_format；jpeg、png；默认 jpeg,,style_name：(No style)/Cinematic/Photographic/Anime/Manga/Digital Art/Pixel art/Fantasy art/Neonpunk/3D Model（默认 (No style)）,enable_safety_checker（默认 false）；sync_mode（默认 false）,seed；num_inference_steps（1~50）,guidance_scale（0~20）,negative_prompt,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/sana/v1.5/4.8b,sana-v1.5-4.8b,NVIDIA / Sana V1.5 4.8B,nvidia,text-to-image,,1~4 张（字段 num_images）,,,,字段 image_size；宽 256~4096，高 256~4096，≤16.7772MP,字段 output_format；jpeg、png；默认 jpeg,,style_name：(No style)/Cinematic/Photographic/Anime/Manga/Digital Art/Pixel art/Fantasy art/Neonpunk/3D Model（默认 (No style)）,enable_safety_checker（默认 false）；sync_mode（默认 false）,seed；num_inference_steps（1~50）,guidance_scale（0~20）,negative_prompt,,prompt,,enable_safety_checker 本地默认 false（官方 true）
nvidia/cosmos-3-super/text-to-image,nvidia-cosmos-3-super-text-to-image,NVIDIA / Cosmos 3 Super,nvidia,text-to-image,,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,,,enable_prompt_expansion（默认 false）；enable_agentic_generation（默认 false）；agentic_early_stop（默认 true）；enable_safety_checker（默认 false）；sync_mode（默认 false）,seed；num_inference_steps（1~50）；agentic_max_iterations（1~3）；agentic_samples_per_iteration（1~3）,guidance_scale（0~20）,negative_prompt,,prompt,,enable_safety_checker 本地默认 false（官方 true）
openai/gpt-image-2,gpt-image-2,OpenAI / GPT Image 2,openai,text-to-image,openai/gpt-image-2/edit,1~4 张（字段 num_images）,1:1、16:9、9:16、4:3、3:4、3:2、2:3；默认 4:3,1:1=1024x1024；16:9=1536x864；9:16=864x1536；4:3=1024x768；3:4=768x1024；3:2=1536x1024；2:3=1024x1536,,字段 image_size；宽 ~3840，高 ~3840，步长 16，≤8.2944MP,字段 output_format；jpeg、png、webp；默认 png,,quality：low/medium/high（默认 low）,sync_mode,,,,,prompt,,quality 本地默认 low（官方 high）；quality 未开放选项 auto（定价裁剪）
openai/gpt-image-2/edit,gpt-image-2/edit,OpenAI / GPT Image 2 Edit,openai,image-to-image,openai/gpt-image-2,1~4 张（字段 num_images）,auto、1:1、16:9、9:16、4:3、3:4、3:2、2:3；默认 auto,auto=auto；1:1=1024x1024；16:9=1536x864；9:16=864x1536；4:3=1024x768；3:4=768x1024；3:2=1536x1024；2:3=1024x1536,,字段 image_size；宽 ~3840，高 ~3840，步长 16，≤8.2944MP,字段 output_format；jpeg、png、webp；默认 png,字段 image_urls（最多 16 张）,quality：low/medium/high（默认 low）,sync_mode,,,mask_url,,prompt、image_urls,,quality 本地默认 low（官方 high）；quality 未开放选项 auto（定价裁剪）
fal-ai/gpt-image-1.5,gpt-image-1.5,OpenAI / GPT Image 1.5,openai,text-to-image,fal-ai/gpt-image-1.5/edit,1~4 张（字段 num_images）,1:1、3:2、2:3；默认 1:1,1:1=1024x1024；3:2=1536x1024；2:3=1024x1536,,,字段 output_format；jpeg、png、webp；默认 png,,quality：low/medium/high（默认 low）；background：auto/transparent/opaque（默认 auto）,sync_mode,,,,,prompt,,quality 本地默认 low（官方 high）
fal-ai/gpt-image-1.5/edit,gpt-image-1.5/edit,OpenAI / GPT Image 1.5 Edit,openai,image-to-image,fal-ai/gpt-image-1.5,1~4 张（字段 num_images）,1:1、3:2、2:3；默认 1:1,1:1=1024x1024；3:2=1536x1024；2:3=1024x1536,,,字段 output_format；jpeg、png、webp；默认 png,字段 image_urls,quality：low/medium/high（默认 low）；background：auto/transparent/opaque（默认 auto）；input_fidelity：low/high,sync_mode,,,mask_image_url,,prompt、image_urls,,quality 本地默认 low（官方 high）
fal-ai/gpt-image-1/text-to-image,gpt-image-1,OpenAI / GPT Image 1,openai,text-to-image,fal-ai/gpt-image-1/edit-image,1~4 张（字段 num_images）,1:1、3:2、2:3；默认 1:1,1:1=1024x1024；3:2=1536x1024；2:3=1024x1536,,,字段 output_format；jpeg、png、webp；默认 png,,quality：low/medium/high（默认 low）；background：auto/transparent/opaque（默认 auto）,sync_mode,,,,,prompt,,quality 本地默认 low（官方 auto）；quality 未开放选项 auto（定价裁剪）
